PARAMETER,PARAMETER,TEST CONDITIONS,TEST CONDITIONS,MIN (1),TYP (2),MAX (1),UNIT
DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS,DEVICE PARAMETERS
I b,Feedback bias current,"Adjustable version only, V FB = 1.3 V",T J = 25°C,,10,50,nA
I b,Feedback bias current,"Adjustable version only, V FB = 1.3 V",-40°C ≤ T J ≤ 125°C,,,100,nA
f O,Oscillator frequency (3),T J = 25°C,,127,150,173,kHz
f O,Oscillator frequency (3),-40°C ≤ T J ≤ 125°C,,110,,173,kHz
V SAT,Saturation voltage (4) (5),I OUT = 3 A,T J = 25°C,,1.16,1.4,V
V SAT,Saturation voltage (4) (5),I OUT = 3 A,-40°C ≤ T J ≤ 125°C,,,1.5,V
DC,Max duty cycle (ON) (5),,,,100%,,
DC,Min duty cycle (OFF) (6),,,,0%,,
I CL,Current limit (4) (5),Peak current,T J = 25°C,3.6,4.5,6.9,A
I CL,Current limit (4) (5),Peak current,-40°C ≤ T J ≤ 125°C,3.4,,7.5,A
I L,Output leakage current (4) (6),"Output = 0 V, V IN = 40 V",,,,50,μA
I L,Output leakage current (4) (6),Output = -1 V,,,2,30,mA
I Q,Operating quiescent current (6),See (6),,,5,10,mA
I STBY,Current standby quiescent,ON/OFF pin = 5 V (OFF) (7),T J = 25°C,,80,200,μA
I STBY,Current standby quiescent,ON/OFF pin = 5 V (OFF) (7),-40°C ≤ T J ≤ 125°C,,,250,μA
SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit),SHUTDOWN/SOFT-START CONTROL (see Figure 9-13 for test circuit)
V IH,ON/OFF pin logic input threshold voltage,Low (regulator ON),T J = 25°C,,1.3,,V
V IH,ON/OFF pin logic input threshold voltage,Low (regulator ON),-40°C ≤ T J ≤ 125°C,,,0.6,V
V IL,ON/OFF pin logic input threshold voltage,High (regulator OFF),T J = 25°C,,1.3,,V
V IL,ON/OFF pin logic input threshold voltage,High (regulator OFF),-40°C ≤ T J ≤ 125°C,2,,,V
I H,ON/OFF pin input current,V LOGIC = 2.5 V (regulator OFF),,,5,15,μA
I L,ON/OFF pin input current,V LOGIC = 0.5 V (regulator ON),,,0.02,5,μA
